Word,Phonetic,Meanings,Examples

avenue,ˈav(ə)njuː,"noun - a broad road in a town or city, typically having trees at regular intervals along its sides. a way of approaching a problem or making progress towards something. ","tree-lined avenues surround the hotel;three possible avenues of research suggested themselves;"

average,ˈav(ə)rɪdʒ,"noun - a number expressing the central or typical value in a set of data, in particular the mode, median, or (most commonly) the mean, which is calculated by dividing the sum of the values in the set by their number. the apportionment of financial liability resulting from loss of or damage to a ship or its cargo. adjective - constituting the result obtained by adding together several amounts and then dividing this total by the number of amounts. verb - amount to or achieve as an average rate or amount over a period of time; mean. ","the proportion of over-60s is above the EU average of 19 per cent;null;the average temperature in May was 4°C below normal;annual inflation averaged 2.4 per cent;"

averse,əˈvəːs,"adjective - having a strong dislike of or opposition to something. ","as a former CIA director, he is not averse to secrecy;"

aversion,əˈvəːʃ(ə)n,"noun - a strong dislike or disinclination. ","they made plain their aversion to the use of force;"

avert,əˈvəːt,"verb - turn away (one's eyes or thoughts). prevent or ward off (an undesirable occurrence). ","she averted her eyes while we made stilted conversation;talks failed to avert a rail strike;"

avert,əˈvəːt,"verb - turn away (one's eyes or thoughts). prevent or ward off (an undesirable occurrence). ","she averted her eyes while we made stilted conversation;talks failed to avert a rail strike;"

avoid,əˈvɔɪd,"verb - keep away from or stop oneself from doing (something). repudiate, nullify, or render void (a decree or contract). ","avoid excessive exposure to the sun;if the original owner had avoided his contract with the rogue, ownership of the goods would have reverted to him;"

avoid,əˈvɔɪd,"verb - keep away from or stop oneself from doing (something). repudiate, nullify, or render void (a decree or contract). ","avoid excessive exposure to the sun;if the original owner had avoided his contract with the rogue, ownership of the goods would have reverted to him;"

avoid,əˈvɔɪd,"verb - keep away from or stop oneself from doing (something). repudiate, nullify, or render void (a decree or contract). ","avoid excessive exposure to the sun;if the original owner had avoided his contract with the rogue, ownership of the goods would have reverted to him;"

await,əˈweɪt,"verb - wait for (an event). ","we await the proposals with impatience;"

await,əˈweɪt,"verb - wait for (an event). ","we await the proposals with impatience;"

await,əˈweɪt,"verb - wait for (an event). ","we await the proposals with impatience;"

awake,əˈweɪk,"verb - stop sleeping; wake from sleep. adjective - not asleep. ","she awoke to find the streets covered in snow;the noise might keep you awake at night;"

awaken,əˈweɪk(ə)n,"verb - rouse from sleep; cause to stop sleeping. ","Anna was awakened by the telephone;"

aware,əˈwɛː,"adjective - having knowledge or perception of a situation or fact. ","most people are aware of the dangers of sunbathing;"

away,əˈweɪ,"adverb - to or at a distance from a particular place, person, or thing. into an appropriate place for storage or safekeeping. into non-existence. constantly, persistently, or continuously. adjective - (of a sports fixture) played at the opponents' ground. noun - an away match or win. ","she landed badly, and crawled away;he put away the pistol;Marie felt her distress ebbing away;there was Morrissey crooning away;tomorrow night's away game at Leicester;null;"

awful,ˈɔːf(ə)l,"adjective - very bad or unpleasant. used to emphasize the extent of something, especially something unpleasant or negative. inspiring reverential wonder or fear. adverb - awfully; very. ","the place smelled awful;I've made an awful fool of myself;null;we're an awful long way from the motorway;"

awkward,ˈɔːkwəd,"adjective - causing difficulty; hard to do or deal with. causing or feeling uneasy embarrassment or inconvenience. not smooth or graceful; ungainly. ","some awkward questions;you have put me in a very awkward position;Luther's awkward movements impeded his progress;"

awake,əˈweɪk,"verb - stop sleeping; wake from sleep. ","she awoke to find the streets covered in snow;"

axiom,ˈaksɪəm,"noun - a statement or proposition which is regarded as being established, accepted, or self-evidently true. ","the axiom that sport builds character;"

baby,ˈbeɪbi,"noun - a very young child. a lover or spouse (often as a form of address). adjective - comparatively small or immature of its kind. verb - treat (someone) as a baby; pamper or be overprotective towards. ","his wife's just had a baby;my baby left me for another guy;a baby version of the Oxford Movement;her aunt babied her and fussed over her clothes;"

bachelor,ˈbatʃələ,"noun - a man who is not and has never been married. a person who holds a first degree from a university or other academic institution (only in titles or set expressions). a bachelor apartment. a young knight serving under another's banner. ","one of the country's most eligible bachelors;a Bachelor of Arts;it's just one room, a bachelor;null;"

bachelor,ˈbatʃələ,"noun - a man who is not and has never been married. a person who holds a first degree from a university or other academic institution (only in titles or set expressions). a bachelor apartment. a young knight serving under another's banner. ","one of the country's most eligible bachelors;a Bachelor of Arts;it's just one room, a bachelor;null;"

back,bak,"noun - the rear surface of the human body from the shoulders to the hips. the side or part of something that is away from the spectator or from the direction in which it moves or faces; the rear. a player in a team game who plays in a defensive position behind the forwards. the grounds of Cambridge colleges which back on to the River Cam. adverb - in the opposite direction from the one that one is facing or travelling towards. so as to return to an earlier or normal position or condition. in or into the past. in return. verb - give financial, material, or moral support to. walk or drive backwards. cover the back of (an article) in order to support, protect, or decorate it. lie behind or at the back of. adjective - of or at the back of something. from or relating to the past. directed towards the rear or in a reversed course. (of a sound) articulated at the back of the mouth. ","he lay on his back;at the back of the hotel is a secluded garden;their backs showed some impressive running and passing;null;he moved back a pace;she put the book back on the shelf;he made his fortune back in 1955;they wrote back to me;he had a newspaper empire backing him;I put the car in reverse and backed down the road;a mirror backed with tortoiseshell;the promenade is backed by lots of cafes;the back garden;she was owed back pay;a back header;a long back vowel, as in 'dance' or 'bath';"

back,bak,"verb - give financial, material, or moral support to. walk or drive backwards. cover the back of (an article) in order to support, protect, or decorate it. lie behind or at the back of. ","he had a newspaper empire backing him;I put the car in reverse and backed down the road;a mirror backed with tortoiseshell;the promenade is backed by lots of cafes;"

backgammon,ˈbakɡamən,"noun - a board game in which two players move their pieces around twenty-four triangular points according to the throw of dice, the winner being the first to remove all their pieces from the board. ","null;"

background,ˈbakɡraʊnd,"noun - the part of a picture, scene, or design that forms a setting for the main figures or objects, or appears furthest from the viewer. the circumstances or situation prevailing at a particular time or underlying a particular event. verb - form a background to. provide with background. ","the house stands against a background of sheltering trees;the political and economic background;windswept land backgrounded by the Rockies;the embassy backgrounded American reporters;"

backward,ˈbakwəd,"adjective - directed behind or to the rear. having made less progress than is normal or expected. lacking the confidence to do (something). (of a fielding position) behind an imaginary line passing through the stumps at the batsman's end at right angles to the wicket. adverb - another word for backwards. ","she left the room without a backward glance;a backward agricultural country;he was not backward in displaying his talents;backward square leg;null;"
backwards,ˈbakwədz,"adverb - (of a movement) in the direction of one's back. (of an object's motion) back towards the starting point. in reverse of the usual direction or order. ","Penny glanced backwards;the tape rolled backwards;count backwards from twenty to ten;"

backwater,ˈbakwɔːtə,"noun - a part of a river not reached by the current, where the water is stagnant. ","the eels inhabit backwaters;"

bad,bad,"adjective - of poor quality or a low standard. not such as to be hoped for or desired; unpleasant or unwelcome. failing to conform to standards of moral virtue or acceptable conduct. (of a part of the body) injured, diseased, or painful. (of food) decayed; putrid. regretful, guilty, or ashamed about something. worthless; not valid. good; excellent. adverb - badly. ","a bad diet;bad news;the bad guys;a bad back;everything in the fridge went bad;she feels bad about ending their engagement;he ran up 87 bad cheques;they want the baddest, best-looking Corvette there is;he beat her up real bad;"

bid,bɪd,"verb - utter (a greeting or farewell) to. command or order (someone) to do something. ","James bade a tearful farewell to his parents;I did as he bade me;"

badge,badʒ,"noun - a small piece of metal, plastic, or cloth bearing a design or words, typically worn to identify a person or to indicate membership of an organization or support for a cause. verb - mark with a badge or other distinguishing emblem. ","the badge of the Cheshire Regiment;vendors can badge their products �?certified’;"

badly,ˈbadli,"adverb - in an unsatisfactory, inadequate, or unsuccessful way. used to emphasize the seriousness of an unpleasant event or action. in a guilty or regretful way. ","England have played badly this year;the building was badly damaged by fire;I felt badly about my unfriendliness;"

baffle,ˈbaf(ə)l,"verb - totally bewilder or perplex. restrain or regulate (a fluid, sound, etc.). ","an unexplained occurrence that baffled everyone;to baffle the noise further, I pad the gunwales;"

bag,baɡ,"noun - a flexible container with an opening at the top, used for carrying things. one's particular interest or taste. a woman, especially an older one, perceived as unpleasant or unattractive. a base. (in southern Africa) a unit of measurement, used especially of grain, equal to 70 kg (formerly 200 lb). verb - put (something) in a bag. succeed in killing or catching (an animal). (of clothes, especially trousers) form loose bulges due to wear. a child's expression used to make a claim to something. abandon or give up on. fit (a patient) with an oxygen mask or other respiratory aid. criticize. ","he arrived at the children's ward carrying a bag full of toys for the young patients;ask the manager about mild curries, if that's your bag;null;null;null;customers bagged their own groceries;Mike bagged nineteen cod;these trousers never bag at the knee;bags his jacket;she ought to just bag this marriage and get on with her life;null;the fans should be backing him not bagging him;"

baggy,ˈbaɡi,"adjective - (of clothing) loose and hanging in folds. noun - loose, wide-legged trousers or shorts. ","baggy trousers;null;"

baker,ˈbeɪkə,"noun - a person who makes bread and cakes, especially as a trade. ","null;"

baker,ˈbeɪkə,"noun - a person who makes bread and cakes, especially as a trade. ","null;"

balance,ˈbal(ə)ns,"noun - an even distribution of weight enabling someone or something to remain upright and steady. a situation in which different elements are equal or in the correct proportions. an apparatus for weighing, especially one with a central pivot, beam, and two scales. a counteracting weight or force. a predominating amount; a preponderance. a figure representing the difference between credits and debits in an account; the amount of money held in an account. verb - put (something) in a steady position so that it does not fall. offset or compare the value of (one thing) with another. compare debits and credits in (an account) so as to ensure that they are equal. ","she lost her balance and fell;the obligations of political balance in broadcasting;null;null;the balance of opinion was that work was more important than leisure;he accumulated a healthy balance with the savings bank;a mug that she balanced on her knee;the cost of obtaining such information needs to be balanced against its benefits;the law requires the council to balance its books each year;"

balanced,ˈbalənst,"adjective - keeping or showing a balance; in good proportions. ","she assembled a balanced team;"
balance,ˈbal(ə)ns,"verb - put (something) in a steady position so that it does not fall. offset or compare the value of (one thing) with another. compare debits and credits in (an account) so as to ensure that they are equal. ","a mug that she balanced on her knee;the cost of obtaining such information needs to be balanced against its benefits;the law requires the council to balance its books each year;"

balance,ˈbal(ə)ns,"verb - put (something) in a steady position so that it does not fall. offset or compare the value of (one thing) with another. compare debits and credits in (an account) so as to ensure that they are equal. ","a mug that she balanced on her knee;the cost of obtaining such information needs to be balanced against its benefits;the law requires the council to balance its books each year;"

bald,bɔːld,"adjective - having a scalp wholly or partly lacking hair. not having any extra detail or explanation; plain or blunt. ","he was starting to go bald;the bald statement in the preceding paragraph requires amplification;"

baleful,ˈbeɪlfʊl,"adjective - threatening harm; menacing. ","Bill shot a baleful glance in her direction;"

ball,bɔːl,"noun - a solid or hollow spherical or egg-shaped object that is kicked, thrown, or hit in a game. (in cricket) a delivery of the ball by the bowler to the batsman. the rounded protuberant part of the foot at the base of the big toe. verb - squeeze or form (something) into a rounded shape. have sex with. (of a flower) fail to open properly, decaying in the half-open bud. ","a cricket ball;his half century came off only forty balls;null;Robert balled up his napkin and threw it on to his plate;null;null;"
ball,bɔːl,"noun - a formal social gathering for dancing. ","Anne danced with the captain at a fancy-dress ball;"
-ball,null,"combining form - used in various derogatory terms as an intensifier. ","sleazeball;"

balls,bɔːlz,"noun - testicles. courage or nerve. nonsense; rubbish (often said to express strong disagreement). verb - bungle something. ","null;null;null;null;"
ball,bɔːl,"noun - a solid or hollow spherical or egg-shaped object that is kicked, thrown, or hit in a game. (in cricket) a delivery of the ball by the bowler to the batsman. the rounded protuberant part of the foot at the base of the big toe. verb - squeeze or form (something) into a rounded shape. have sex with. (of a flower) fail to open properly, decaying in the half-open bud. ","a cricket ball;his half century came off only forty balls;null;Robert balled up his napkin and threw it on to his plate;null;null;"
ball,bɔːl,"noun - a formal social gathering for dancing. ","Anne danced with the captain at a fancy-dress ball;"

balmoral,balˈmɒr(ə)l,"noun - a round brimless hat with a cockade or ribbons attached, worn by certain Scottish regiments. a heavy laced leather walking boot. ","null;null;"

band,band,"noun - a flat, thin strip or loop of material, used as a fastener, for reinforcement, or as decoration. a stripe, line, or elongated area of a different colour, texture, or composition from its surroundings. a range of values or a specified category within a series (used especially in financial contexts). a thing that restrains, binds, or unites. verb - provide or fit (an object) with something in the form of a strip or ring, for reinforcement or decoration. mark (something) with a stripe or stripes of a different colour. allocate to a range or category (used especially in financial contexts). ","wads of banknotes fastened with gummed paper bands;a long, narrow band of cloud;your home was placed in one of eight valuation bands;must I fall, and die in bands?;doors are banded with iron to make them stronger;the bird's bill is banded across the middle with black;single adults in a property banded above D will pay more;"
band,band,"noun - a group of people who have a common interest or purpose or who share a common feature. a small group of musicians and vocalists who play pop, jazz, or rock music. a herd or flock. verb - (of people or organizations) form a group to achieve a mutual objective. ","a band of eminent British researchers;the band's last two albums;moving bands of caribou;local people banded together to fight the company;"

bandage,ˈbandɪdʒ,"verb - bind (a wound or a part of the body) with a protective strip of material. ","bandage the foot so that the ankle is supported;"

band,band,"noun - a flat, thin strip or loop of material, used as a fastener, for reinforcement, or as decoration. a stripe, line, or elongated area of a different colour, texture, or composition from its surroundings. a range of values or a specified category within a series (used especially in financial contexts). a thing that restrains, binds, or unites. verb - provide or fit (an object) with something in the form of a strip or ring, for reinforcement or decoration. mark (something) with a stripe or stripes of a different colour. allocate to a range or category (used especially in financial contexts). ","wads of banknotes fastened with gummed paper bands;a long, narrow band of cloud;your home was placed in one of eight valuation bands;must I fall, and die in bands?;doors are banded with iron to make them stronger;the bird's bill is banded across the middle with black;single adults in a property banded above D will pay more;"
band,band,"noun - a group of people who have a common interest or purpose or who share a common feature. a small group of musicians and vocalists who play pop, jazz, or rock music. a herd or flock. verb - (of people or organizations) form a group to achieve a mutual objective. ","a band of eminent British researchers;the band's last two albums;moving bands of caribou;local people banded together to fight the company;"

bandy,ˈbandi,"adjective - (of a person's legs) curved outwards so that the knees are wide apart. ","she had bent, slightly bandy legs;"
bandy,ˈbandi,"verb - pass on or discuss (an idea or rumour) in a casual or uninformed way. ","£40,000 is the figure that has been bandied about;"
bandy,ˈbandi,"noun - a game similar to field hockey or ice hockey, played with a ball and large curved sticks. ","null;"

bang,baŋ,"noun - a sudden loud, sharp noise. a fringe of hair cut straight across the forehead. an act or instance of having sex. the character �?!’. verb - strike or put down (something) forcefully and noisily. have sex with (someone). cut (hair) in a fringe. (of music) have a loud, energetic beat that is good for dancing to. adverb - exactly. exclamation - used to convey the sound of a sudden loud noise. used to convey the suddenness of an action. ","the door slammed with a bang;she brushed back her wispy bangs;null;null;he began to bang the table with his fist;null;null;the track bangs and is perfect for any house party;the train arrived bang on time;party poppers went bang;the minute something becomes obsolete, bang, it's gone;"
bang,baŋ,"noun - variant spelling of bhang. ","null;"
bhang,baŋ,"noun - the leaves and flower tops of cannabis, used as a narcotic. ","null;"

bank,baŋk,"noun - the land alongside or sloping down to a river or lake. a long, high mass or mound of a particular substance. a set of similar things, especially electrical or electronic devices, grouped together in rows. the cushion of a pool table. verb - heap (a substance) into a mass or mound. (with reference to an aircraft or vehicle) tilt or cause to tilt sideways in making a turn. (of a locomotive) provide additional power for (a train) in ascending an incline. (of an angler) succeed in landing (a fish). (in pool) play (a ball) so that it rebounds off a surface such as a cushion. ","willows lined the bank of the stream;a grassy bank;the DJ had big banks of lights and speakers on either side of his console;a bank shot;the rain banked the soil up behind the gate;the plane banked as if to return to the airport;he has built a four-cylinder locomotive for banking trains up the Lickey incline;it was the biggest rainbow trout that had ever been banked;I banked the eight ball off two cushions;"
bank,baŋk,"noun - a financial establishment that uses money deposited by customers for investment, pays it out when required, makes loans at interest, and exchanges currency. verb - deposit (money or valuables) in a bank. ","a bank account;she may have banked a cheque in the wrong account;"

banker,ˈbaŋkə,"noun - a person who manages or owns a bank or group of banks. a supposedly certain bet. ","null;the horse should be a banker for him in the Members' race;"
banker,ˈbaŋkə,"noun - a boat employed in cod fishing off Newfoundland. a river flooded to the top of its banks. an additional locomotive used to assist a train in ascending an incline. a bench at which a stonemason works. ","null;null;null;null;"

banking,ˈbaŋkɪŋ,"noun - the business conducted or services offered by a bank. ","with this account, you are entitled to free banking;"
banking,ˈbaŋkɪŋ,"noun - an embankment or artificial bank. the use of a second locomotive to provide additional power for a train ascending an incline. ","I climbed down the banking and took a photograph;four engines of this class are used for banking;"
bank,baŋk,"verb - heap (a substance) into a mass or mound. (with reference to an aircraft or vehicle) tilt or cause to tilt sideways in making a turn. (of a locomotive) provide additional power for (a train) in ascending an incline. (of an angler) succeed in landing (a fish). (in pool) play (a ball) so that it rebounds off a surface such as a cushion. ","the rain banked the soil up behind the gate;the plane banked as if to return to the airport;he has built a four-cylinder locomotive for banking trains up the Lickey incline;it was the biggest rainbow trout that had ever been banked;I banked the eight ball off two cushions;"
bank,baŋk,"verb - deposit (money or valuables) in a bank. ","she may have banked a cheque in the wrong account;"

bank,baŋk,"noun - the land alongside or sloping down to a river or lake. a long, high mass or mound of a particular substance. a set of similar things, especially electrical or electronic devices, grouped together in rows. the cushion of a pool table. verb - heap (a substance) into a mass or mound. (with reference to an aircraft or vehicle) tilt or cause to tilt sideways in making a turn. (of a locomotive) provide additional power for (a train) in ascending an incline. (of an angler) succeed in landing (a fish). (in pool) play (a ball) so that it rebounds off a surface such as a cushion. ","willows lined the bank of the stream;a grassy bank;the DJ had big banks of lights and speakers on either side of his console;a bank shot;the rain banked the soil up behind the gate;the plane banked as if to return to the airport;he has built a four-cylinder locomotive for banking trains up the Lickey incline;it was the biggest rainbow trout that had ever been banked;I banked the eight ball off two cushions;"
bank,baŋk,"noun - a financial establishment that uses money deposited by customers for investment, pays it out when required, makes loans at interest, and exchanges currency. verb - deposit (money or valuables) in a bank. ","a bank account;she may have banked a cheque in the wrong account;"

bar,bɑː,"noun - a long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon. a counter in a pub, restaurant, or cafe across which drinks or refreshments are served. a barrier or restriction to an action or advance. any of the short sections or measures, typically of equal time value, into which a piece of music is divided, shown on a score by vertical lines across the stave. a partition in a court room, now usually notional, beyond which most people may not pass and at which an accused person stands. the profession of barrister. verb - fasten (something, especially a door or window) with a bar or bars. prevent or prohibit (someone) from doing something or from going somewhere. mark (something) with bars or stripes. preposition - except for. ","an iron bar;standing at the bar;political differences are not necessarily a bar to a good relationship;the opening bars of the first hymn;the prisoner at the bar;his dismissal from the Singapore Bar;she bolted and barred the door;she is barred from leaving the country;his face was barred with light;his kids were all gone now, bar one;"
bar,bɑː,"noun - a unit of pressure equivalent to a hundred thousand newtons per square metre or approximately one atmosphere. ","null;"
Bar.,null,"abbreviation - (in biblical references) Baruch (in the Apocrypha). ","null;"

barbaric,bɑːˈbarɪk,"adjective - savagely cruel. primitive; unsophisticated. ","he carried out barbaric acts in the name of war;the barbaric splendour he found in civilizations since destroyed;"

bare,bɛː,"adjective - (of a person or part of the body) not clothed or covered. without addition; basic and simple. verb - uncover (a part of the body or other thing) and expose it to view. determiner - a large amount or number of. adverb - very; really (used as an intensifier). ","he was bare from the waist up;he outlined the bare essentials of the story;he bared his chest to show his scar;my birthday's on the 22nd—I'm gonna get bare cash;you are bare lazy;"

call,kɔːl,"verb - cry out (a word or words). ","he heard an insistent voice calling his name;"

calling,ˈkɔːlɪŋ,"noun - the action or sound of calling. a strong urge towards a particular way of life or career; a vocation. ","the calling of a cuckoo;those who have a special calling to minister to others' needs;"
call,kɔːl,"verb - cry out (a word or words). ","he heard an insistent voice calling his name;"

call,kɔːl,"verb - cry out (a word or words). noun - a cry made as a summons or to attract someone's attention. the characteristic cry of a bird or other animal. an instance of speaking to someone on the phone or attempting to contact someone by phone. a brief visit, especially one made for social reasons. an appeal or demand for something to happen or be done. an order or request for someone to be present. (in sport) a decision or ruling made by an umpire or other official, traditionally conveyed by a shout, that the ball has gone out of play or that a rule has been breached. a command to execute a subroutine. a demand for payment of lent or unpaid capital. (in a bar, club, etc.) denoting or made with relatively expensive brands of alcohol which customers request by name. ","he heard an insistent voice calling his name;a nearby fisherman heard their calls for help;it is best distinguished by its call, a loud �?pwit’;I'll give you a call at around five;we paid a call on Ben and his family;the call for action was welcomed;he was delighted that so many former players had heeded the call to attend the conference;he was visibly irritated with the umpire's calls;parameter values may be changed by calls to a special purpose input specification subroutine;null;try wines by the glass for $5, beer for $3, and call drinks for $8;"

caltrop,ˈkaltrəp,"noun - a spiked metal device thrown on the ground to impede wheeled vehicles or (formerly) cavalry horses. a creeping plant with woody carpels that typically have hard spines and resemble military caltrops. another term for water chestnut (sense 3). ","militant demonstrators threw a box of caltrops across the highway;null;null;"

came,keɪm,"verb - past of come. ","null;"
came,keɪm,"noun - each of a number of strips forming a framework for enclosing a pane of glass, especially in a leaded window. ","null;"
come,kʌm,"verb - move or travel towards or into a place thought of as near or familiar to the speaker. occur; happen; take place. take or occupy a specified position in space, order, or priority. pass into a specified state, especially one of separation or disunion. be sold, available, or found in a specified form. have an orgasm. ","Jessica came into the kitchen;twilight had not yet come;prisons come well down the list of priorities;his shirt had come undone;the cars come with a variety of extras;null;"
cum,kʌm,"verb - have an orgasm. ","null;"

camera,ˈkam(ə)rə,"noun - a device for recording visual images in the form of photographs, film, or video signals. ","she faced the cameras;"
camera,ˈkam(ə)rə,"noun - a chamber or round building. ","the Radcliffe Camera;"

camp,kamp,"noun - a place with temporary accommodation of huts, tents, or other structures, typically used by soldiers, refugees, or travelling people. the supporters of a particular party or doctrine regarded collectively. a fenced field or enclosed area for grazing. verb - live for a time in a tent, especially while on holiday. (of livestock) assemble together for rest. divide (land) and enclose with fences. ","null;the change is aimed at accommodating last year's political agreement between the island territory's pro- and anti-independence camps;null;holiday parks in which you can camp or stay in a chalet;null;null;"
camp,kamp,"adjective - ostentatiously and extravagantly effeminate (typically used of a man or his manner). noun - deliberately exaggerated and theatrical behaviour or style. verb - behave in an ostentatiously effeminate way (typically used of a man). ","a heavily made-up and highly camp actor;Hollywood camp;he camped it up a bit for the cameras;"

campaign,kamˈpeɪn,"noun - an organized course of action to achieve a goal. a series of military operations intended to achieve a particular objective, confined to a particular area, or involving a specified type of fighting. verb - work in an organized and active way towards a particular goal, typically a political or social one. ","the campaign for a full inquiry into the regime;a desert campaign;people who campaigned against child labour;"

can,kan,"verb - be able to. be permitted to. used to request someone to do something. ","they can run fast;you can use the phone if you want to;can you open the window?;"
can,kan,"noun - a cylindrical metal container. prison. the toilet. headphones. a woman's breasts. verb - preserve (food) in a can. dismiss from a job. ","a petrol can;our friends will get a year or two in the can;she walks in and has to use the can;null;null;sardines and anchovies are worth the extra money if canned in olive oil;he was canned because of a tiff over promotion;"
Can.,null,"abbreviation - Canada or Canadian. ","null;"

can't,kɑːnt,"contraction - cannot. ","null;"

candidate,ˈkandɪdeɪt,"noun - a person who applies for a job or is nominated for election. ","candidates applying for this position should be computer-literate;"

candle,ˈkand(ə)l,"noun - a cylinder or block of wax or tallow with a central wick which is lit to produce light as it burns. a unit of luminous intensity, superseded by the candela. verb - (of a poultry breeder) test (an egg) for freshness or fertility by holding it to the light. ","the candle flickered in the cold night air;null;the egg was candled—it was fertile;"

cane,keɪn,"noun - the hollow jointed stem of a tall grass, especially bamboo or sugar cane, or the stem of a slender palm such as rattan. a length of cane or a slender stick, especially one used as a support for plants, a walking stick, or an instrument of punishment. verb - beat with a cane as a punishment. take (drink or drugs) in large quantities. ","null;tie the shoot to a cane if vertical growth is required;Matthew was caned for bullying by the headmaster;the others were probably out caning it in some bar;"

cannon,ˈkanən,"noun - a large, heavy piece of artillery, typically mounted on wheels, formerly used in warfare. a stroke in which the cue ball strikes two balls successively. a heavy cylinder or hollow drum that is able to rotate independently on a shaft. verb - collide with something forcefully or at an angle. make a cannon shot. ","they would cross at the Town ford, under cover of the defending cannon;null;null;the couple behind almost cannoned into us;null;"

cannot,ˈkanɒt,"contraction - can not. ","null;"

canvas,ˈkanvəs,"noun - a strong, coarse unbleached cloth made from hemp, flax, or a similar yarn, used to make items such as sails and tents and as a surface for oil painting. verb - cover with canvas. ","the painting is oil on canvas;the door had been canvassed over;"

cap,kap,"noun - a kind of soft, flat hat, typically with a peak. a protective lid or cover for an object such as a bottle, the point of a pen, or a camera lens. an upper limit imposed on spending or borrowing. a contraceptive diaphragm. the broad upper part of the fruiting body of most mushrooms and toadstools, at the top of a stem and bearing gills or pores. short for percussion cap. verb - put a lid or cover on. provide a fitting climax or conclusion to. place a limit or restriction on (prices, expenditure, or borrowing). be chosen as a member of a particular sports team, especially a national one. confer a university degree on. ","a man wearing a raincoat and a flat cap;a glass bottle with a screw cap;he raised the cap on local authority spending;null;null;null;he capped his pen;he capped a memorable season by becoming champion of champions;council budgets will be capped;he was capped ten times by England;null;"
cap,kap,"noun - short for capitalization. ","mid-cap companies;"
cap.,kap,"abbreviation - capacity. capital (city). capital letter. ","null;null;null;"
CAP,ˌsiːˌeɪˈpiː,"abbreviation - Common Agricultural Policy. Civil Air Patrol. ","null;null;"

capable,ˈkeɪpəb(ə)l,"adjective - having the ability, fitness, or quality necessary to do or achieve a specified thing. able to achieve efficiently whatever one has to do; competent. ","I'm quite capable of taking care of myself;she looked enthusiastic and capable;"

capacity,kəˈpasɪti,"noun - the maximum amount that something can contain. the amount that something can produce. a specified role or position. ","the capacity of the freezer is 1.1 cubic feet;the company aimed to double its electricity-generating capacity;I was engaged in a voluntary capacity;"

capital,ˈkapɪt(ə)l,"noun - the city or town that functions as the seat of government and administrative centre of a country or region. wealth in the form of money or other assets owned by a person or organization or available for a purpose such as starting a company or investing. a letter of the size and form used to begin sentences and names. adjective - (of an offence or charge) liable to the death penalty. (of a letter of the alphabet) large in size and of the form used to begin sentences and names. excellent. exclamation - used to express approval, satisfaction, or delight. ","Warsaw is the capital of Poland;rates of return on invested capital were high;he wrote the name in capitals;murder is the only capital crime in the state;null;he's a really capital fellow;That's splendid! Capital!;"
capital,ˈkapɪt(ə)l,"noun - the distinct, typically broader section at the head of a pillar or column. ","the pillars have moulded capitals;"

caps,kaps,"abbreviation - capital letters. ","null;"
cap,kap,"noun - a kind of soft, flat hat, typically with a peak. a protective lid or cover for an object such as a bottle, the point of a pen, or a camera lens. an upper limit imposed on spending or borrowing. a contraceptive diaphragm. the broad upper part of the fruiting body of most mushrooms and toadstools, at the top of a stem and bearing gills or pores. short for percussion cap. verb - put a lid or cover on. provide a fitting climax or conclusion to. place a limit or restriction on (prices, expenditure, or borrowing). be chosen as a member of a particular sports team, especially a national one. confer a university degree on. ","a man wearing a raincoat and a flat cap;a glass bottle with a screw cap;he raised the cap on local authority spending;null;null;null;he capped his pen;he capped a memorable season by becoming champion of champions;council budgets will be capped;he was capped ten times by England;null;"

captain,ˈkaptɪn,"noun - the person in command of a ship. the leader of a team, especially in sports. (in the US) a police officer in charge of a precinct, ranking below a chief. verb - be the captain of (a ship, aircraft, or sports team). ","he found a vessel whose captain was prepared to sign him on;the cup was presented to the winning team's captain;null;all the boats are captained by professional sailors;"

capture,ˈkaptʃə,"verb - take into one's possession or control by force. record accurately in words or pictures. cause (data) to be stored in a computer. absorb (an atomic or subatomic particle). (of a stream) divert the upper course of (another stream) by encroaching on its catchment area. noun - the action of capturing or of being captured. ","the island was captured by Australian forces in 1914;she did a series of sketches, trying to capture all his moods;these allow users to capture, edit, and display geographic data;the free electrons were moving too rapidly to be captured by nuclei;null;the capture of the city;"

capture,ˈkaptʃə,"verb - take into one's possession or control by force. record accurately in words or pictures. cause (data) to be stored in a computer. absorb (an atomic or subatomic particle). (of a stream) divert the upper course of (another stream) by encroaching on its catchment area. ","the island was captured by Australian forces in 1914;she did a series of sketches, trying to capture all his moods;these allow users to capture, edit, and display geographic data;the free electrons were moving too rapidly to be captured by nuclei;null;"

carbuncle,ˈkɑːbʌŋk(ə)l,"noun - a severe abscess or multiple boil in the skin, typically infected with staphylococcus bacteria. a bright red gem, in particular a garnet cut en cabochon. ","null;null;"

